set,theme_id,theme_label,count,pct,key_terms,example
C - Emotions,t6,friends / lost / most,25,18.12,"friend, will, morn, good, joy","BM brought back (this 1st time) lefetim objectives of simplicity, observation, listening, sharing, giving, receiving, sun rise, sunset. will work on those 10 principles Yes, it will."
C - Emotions,t4,art / love / nova,17,12.32,"art, love, how, can, all","Love, anxiety, amazement Post Office employee nothing Sonic Runway art"
C - Emotions,t9,overwhelmed / here / friend,16,11.59,"first, love, one, desert, cry",Frustration people expressing themselves ul audacity & humor Remembering my loved one who died last year. The desert the spirals of sand in the wind The multitude of colors on every horizon
C - Emotions,t8,myself / camp / night,14,10.14,"myself, camp, night, love, show","multiple emotions usually Joy, excitament belonging. Participation talking to Joel albust Burning Dan (ENanE) my life setortiou thinking about moving changing my location where I live. meating med people who share their stories"
C - Emotions,t5,excitement / lights / all,11,7.97,"excitement, all, light, joy, happines",All emotions Cry thappy Most Poop joke Spiral of Secrets The lights in oper playa for wtaks
C - Emotions,t0,all / some / lack,10,7.25,"all, some, heart, lack, lov",Comrectn Immersve some The temple Nisht ime on playa All be out & amazin Creating
C - Emotions,t3,freedom / happy / would,9,6.52,"freedom, happy, happines, watch, would","happy, sad, hopeful, exarted, Lonely, energized, anxiety Conversations wl rew fands Nothing yet Watching the city bang built"
C - Emotions,t2,campmates / all / missing,8,5.8,"all, happines, campmate, miss, friend","Experienced all of them. Wonderous beauty and happiness all the through the blankest grief [Blank] Friends, chosen family The past. Ghosts that still haunt me to this day. The openness and welcoming of the community"
C - Emotions,t1,laughter / there / excitement,2,1.45,"excitement, laughter, there, frome, exhaustion","Frome 6 excitement, exhaustion, laughter love gummies Nothing yet Being here!"
L - Beyond Black Rock City,t0,more / self / radical,137,85.62,"more, self, life, radical, will",[Illegible] [Illegible] [Illegible] [Illegible]
L - Beyond Black Rock City,t2,leave / trace / gift,4,2.5,"leave, trace, gift, moop, comp","yes, Leave yes yes"
L - Beyond Black Rock City,t5,love / kindness / peace,4,2.5,"love, kindnes, spread, more, link",MAKES ME WANT TO SPREAD MORE LOVE & Kindness
L - Beyond Black Rock City,t6,leave / trace / open,4,2.5,"leave, trace, open, appreciate, participate","yes, appreciate art. To participate. Leave no trace. yes yes"
L - Beyond Black Rock City,t7,life / open / more,4,2.5,"life, more, open, shur, gaad","It shured my life/me, also make me gaad with wuts Waict wee teer? See #5"
L - Beyond Black Rock City,t1,part / yet / big,3,1.88,"will, big, part, yet, can","I can't tell you gety, but I have a feeling Burning Man will be a big part of my lik from now on. Radical Inclusion, and self expression will be a big one. Not yet, but for sure it will."
L - Beyond Black Rock City,t3,joining / sexy / most,2,1.25,"join, daw, most, sexy, resto","Joining DAW Resto, I'd say was the most influential experience of my 2017 Born & joining DAW, Mutant vehicles & the sexy landscape"
L - Beyond Black Rock City,t4,okay / beige / outside,2,1.25,"practic, outside, self, okay, beige",Practicing positivity and indusion outside of burns as much & long as I can Self-expression: Learning to be okay to be something other than beige girlie Being otkay with different.
H - Experiences,t1,community / heat / friends,60,41.1,"community, heat, other, experience, friend",To many IBEZA Fuckers Lots os LSD.!!!
H - Experiences,t3,art / was / own,19,13.01,"art, was, love, experience, all","our own Perception of Reality The Culture, the Art, and the People"
H - Experiences,t2,being / here / new,16,10.96,"being, here, camp, new, meet","Nothing; some people being unsafe The culture, band on the 10 principles"
H - Experiences,t0,drugs / bad / too,14,9.59,"drug, bad, too, dehydration, hang",BAD NTICH BORS HAPPY PEOPLE
H - Experiences,t6,fun / dust / love,13,8.9,"love, too, dust, fun, don","People think it's elitist, remote and too expensive. Fun, friendly atmosphere, always Something going on. Feels pretty safe."
H - Experiences,t7,all / positive / experiences,11,7.53,"all, positive, experience, negative, camp",ARE THERE NEGATIVE EXPERIENCES? LET'S JUST TRACH AND PRACTICE THE PRINCIPLES. ALL WILL BE Good IS - ALL OF US - THOSRUR KNOW AND THOSE WR COME TO KNOW
H - Experiences,t4,weather / art / serendipity,8,5.48,"weather, art, safe, community, extreme","Lol, weather last year, people in default world keep asking if I'm going to be safe out here. Community support, organization, fantastic art, Kindness & strangers"
H - Experiences,t5,camp / doing / issues,5,3.42,"camp, doing, member, dutie, campfir",Not doing camp duties Campfir
F - Costumes,t7,more / much / comfortable,34,24.46,"more, comfortable, costume, don, how",yep spontanears yep
F - Costumes,t2,myself / comfort / express,22,15.83,"myself, plan, costume, expres, ahead","FUCK YES! comfort, cozy, sometimes yes! [Blank] [Blank]"
F - Costumes,t3,mood / self / depends,17,12.23,"depend, mood, self, weather, costume",Yes. Radical self reliance Yes.
F - Costumes,t6,outfits / love / more,17,12.23,"outfit, costume, more, love, night",I don't wear Costumes. I'm not confident enough I decide based on functoin and practicality. so far no
F - Costumes,t1,plan / ahead / others,16,11.51,"other, plan, way, change, ahead",I do. I like the transformation and the way others change. I plan ahead. But somelines I combine different stuff Sometimes
F - Costumes,t4,clothes / normal / ahead,14,10.07,"clothe, ahead, costume, more, theme","sort of. I have a mix of clothes, colour themes, etc... but prioritize desert or climate outfits. I planned desert wear ahead... but pessetes on my first full day, & re-organised my attire on theme wear I don't think so... never noticed,"
F - Costumes,t5,good / conversation / fun,12,8.63,"conversation, good, fun, comfort, outfit","yes, to be out in my comfort zone I didn't plan, went online and celected what I liked yes outfits help to start the conversation"
F - Costumes,t0,both / positively / most,7,5.04,"both, most, positively, fun, love","Yer Both Yes, Positively"
D - Boundaries of Humanity,t6,compassion / future / only,23,22.77,"future, past, compassion, ego, human",communication empaths possibly
D - Boundaries of Humanity,t7,love / hope / empathy,15,14.85,"love, depth, help, other, sure",helping others compassion not sure Love
D - Boundaries of Humanity,t5,emotions / can / humans,13,12.87,"emotion, human, machine, animal, can",12. Ability to be clear complex emotions -> IQ No -> Depends on the case we like to think that we are Unique Mucho Amor
D - Boundaries of Humanity,t4,capacity / being / bad,9,8.91,"human, capacity, being, emotion, bad",Imagination & the ability to visualise a world outside of the immediate surroundings Emotion beyond what can be Programmed Not as far as we currently beleive See question 5. ↑ Liken AI to a tech development not an existence changing evoluti
D - Boundaries of Humanity,t9,drink / more / moral,9,8.91,"more, ability, moral, worth, much","hairy a mammalian brain over a reptile creating art, pursuit of spiritual path brain, the soul container That'd be hard to say, since different humans' moral worth differs so much i get to make wipher songs, i was born wi a mohawk, my hair "
D - Boundaries of Humanity,t3,self / human / intelligence,8,7.92,"self, human, desire, being, all","FEW - SO MANY ANIMALS SHARE THINGS LIKE LOVE, CURIOSITY, PLEASURE SEEKING WAY - LIKE THESE NO SELF LOATHING, SELF-DEPRECATION, SRF. JOGE MANT NO"
D - Boundaries of Humanity,t8,empathy / emotion / cool,8,7.92,"empathy, emotion, ability, moment, grow",metacognition & anxiety empathy (even illogical empathy) maybe-depends on the data it is trained on Questioning their self worth? I am a grad student studying psychology.
D - Boundaries of Humanity,t2,soul / language / experience,7,6.93,"soul, language, other, electronic, experience",ELECTRONICS Soul YES MY EXPERIENCE. IIM NOT FROM AROUND HEAR
D - Boundaries of Humanity,t0,different / don / work,6,5.94,"different, don, fundamentally, work, language",I think we aren't fundamentally different. Just a sceptram of intellegence and consciowness They don't really think yet I think they are fundamentally different No our understanding of deep time A datascientist work w/ A I a lot
D - Boundaries of Humanity,t1,loss / love / humans,3,2.97,"loss, human, love, ability, imagine","Humans are wasteful Humans - I hope - are compassionate No Grief, loss of Love No thanks"
K - Diversity & Inclusion,t0,white / male / art,24,24.74,"white, male, pass, more, being","Yes, the fire service has its oun normo & taboos. & Grew ove my manchu queue. Yes ONLY IN MOSTLY POSITINE WAYS. NOT yet."
K - Diversity & Inclusion,t1,more / much / way,15,15.46,"more, way, can, much, appearance","Yes. I'm white + American + able-bodied, and have always been Overweight. Some tinies more overweight than other times.. Having lived across that spectrum ppl treat me much better when lin in a smaller body. Warmer, friendlien, more helpful"
K - Diversity & Inclusion,t3,look / sometimes / care,14,14.43,"don, well, white, there, all","Not that I've noticed Yes. After 10/7, I wore a shirt that clearly identified me as Jewish and went out shopping. A few people came up and talked to me about the attack. They all expressed sympathy and support and two of them hugged me. Yes"
K - Diversity & Inclusion,t2,others / express / census,11,11.34,"more, was, other, expres, censu",No No More unique is better? I try to express my truest self and be unique.
K - Diversity & Inclusion,t4,sure / bit / watch,8,8.25,"sure, will, sometime, accept, bit",I find wearing heals gives me an immense amount of powerful female energy. My self expression is free. Sometime aging and appearance creeps in but I see so many beautiful woman years older than me. Everything is accepted here in my experien
K - Diversity & Inclusion,t5,hair / dress / dye,8,8.25,"hair, dres, more, dye, different","Yes -Skin/hair color, Heritage, accenct make people question things. ""I thought all Finnish people had blonde hair & blue eyes. Yes, I'm a Brit, I'm a Finn, I'm from CENSUS heritage and I have to choose to please No No"
K - Diversity & Inclusion,t6,sometimes / english / hot,6,6.19,"more, work, sometime, default, american","Yes, I work with individuals w/ developmental + mental + intellectual disabilities - so it can sometimes be difficult to break molds or be outside what is expected. Yes sometimes I feel like I have to mute my true self & thoughts Not really"
K - Diversity & Inclusion,t8,white / skin / accent,6,6.19,"white, accent, skin, mix, race","Yes, language, Skin Too White For Mexican TooTall For Bispanic.. NO YES No."
K - Diversity & Inclusion,t7,fun / life / tattoos,5,5.15,"life, fun, hard, tattoo, body",yes - I have a sweeting condition witch manes life hard yes - tattoos yes - I am the Vihing NO - I'M Jas having fun being me
G - Drinking & Smoking,t1,all / shade / impact,30,21.9,"other, all, more, way, sober",WATER BIKE HAT 14+ Shade
G - Drinking & Smoking,t0,smoke / weed / drink,23,16.79,"drink, weed, smoke, more, don","Yes Beer, mixed drinks, tobacco (cigs & cigar) I drink moderately in default world not this many days in a row though. I keep my drinking at BM relatively mild, slow and steady. Don't prormally smoke cigs but I do here occasionally. Recreat"
G - Drinking & Smoking,t2,more / fun / drinking,19,13.87,"more, drink, default, world, social","2-Jan I drink more alcahol and drink more cigarette than default world Because of social pressure. Don't smoke more cannabis because pure joints are too strong for a spliff smoker. Social pressure I'd have more fun with edibles, that I pref"
G - Drinking & Smoking,t6,little / drink / smoke,19,13.87,"drink, little, smoke, legal, social","DRINK, SOMETIMES BURBON/WHISKET TOTALLY SOCIAL [Blank] [Blank]"
G - Drinking & Smoking,t5,less / smoking / play,16,11.68,"less, drink, smok, more, social","Drink-yes Smoke-no Drinke-less Lite so hot!) smoke-no Drinking-less inhibitions, more social They are no change Makes me anti-social and WAY too hungry, oso gives me anxiety"
G - Drinking & Smoking,t7,same / much / vape,14,10.22,"same, drink, much, don, weed",Drink (not smoke) Same! IMaybe drink 1 night at the Bun Play enhancement (but in limited quantities only) Already legal in SF ;) I don't smoke cannabis much
G - Drinking & Smoking,t3,cannabis / alcohol / daily,8,5.84,"cannabi, drink, alcohol, more, other",Drink & eat cannabis Drink much more. Eat concalar much more. It's a forty It's a port/recreation/journey/ of other substances - that's personal growth Atin It's legal where I live I use 1x per month I use less alcohol
G - Drinking & Smoking,t4,recreation / change / legal,8,5.84,"change, recreation, beer, legal, liquor","YES POT, ANY LIQUOR OR BEER EVERY DAY IT TAKES ME OUT OF MY SOBER MIND, ALLOWING ME TO RELAX MORE NOTHING WOULD CHANGE IT AFFECTS NOTHING"
E - Singing & Dancing,t0,don / daily / plan,22,17.89,"play, daily, dance, guitar, alone",Every day - wherever there is music playing Yes every weekend Its a great stress release No it feels the same
E - Singing & Dancing,t1,dance / all / music,22,17.89,"dance, sing, music, all, danc","a little bit yes, i like to dance. at home happy i like to dance"
E - Singing & Dancing,t5,more / dancing / free,18,14.63,"dance, danc, more, free, house","Dance & Sing, House & Latin Yes - Same thing. Sreet alive. I enjoy alene more than with others."
E - Singing & Dancing,t4,good / music / better,16,13.01,"good, music, dance, better, all","I make Latin Music. and Eclectic Electronic stuff. Same, same. Just to make me feel good! It's very necessary to me. Sometimes I have to do it isolated as a meditation, sometimes with my band and family."
E - Singing & Dancing,t7,others / fuck / better,15,12.2,"other, better, fuck, music, edm","Very often, Art Cars, Atomic Pussy Photo Lange, Hip Hop, Heavy Bass, Fuck Trans Music Dance in the Mirvor alof, otherwise not much I feel free, no wrong answers when Dancing Pretty much the same"
E - Singing & Dancing,t2,being / alone / amazing,14,11.38,"alone, danc, some, amaz, being",YES! No !! In Touch with my body Alone not as energized with people I VIBE
E - Singing & Dancing,t6,same / free / connected,9,7.32,"same, free, connect, dance, techno","yes - Techno / Neusel disco funk/ Live musc yes- SAME as above Happy, Free, Connected Yes, with others I fel Connected, hope d'more trust full"
E - Singing & Dancing,t3,only / happy / nope,7,5.69,"only, happy, anyth, other, nope","Yes, AFRO Progressive TRIBAL HOUSE Yes, MIDDLE EASTERN ORGANICA ALIVE Yes, ONLY with others."
D - Boundaries of Humanity,t1,love / place / one,18,69.23,"love, one, place, ability, other",[Blank] Literally everything Nope I am a vessel of love We are ONE
D - Boundaries of Humanity,t2,human / all / machine,3,11.54,"human, moral, machine, personhood, all","Not sure, except our collective ID as humans We think, Al doesn't (and Ive worked in Al). Its possible. If a machine is Sentient, It should be treated with personhood. Unsure Im an animist, So I think all things have personhood. Thus the li"
D - Boundaries of Humanity,t3,consciousness / possibly / more,2,7.69,"consciousnes, possibly, chemical, driven, dato",Consciousness chemical driven us. dato drives possibly enoyers No
D - Boundaries of Humanity,t4,connection / yet / human,2,7.69,"connection, yet, human, family, loss","No, Not yet human Connection, family Loss"
D - Boundaries of Humanity,t0,physical / data / emotional,1,3.85,"capability, includ, biological, human, how","Capability for abstract thought, capability for prediction Actual life expericace - including emotional reactions & am areness. as opposed to just cold training data. No, because of the biological hatare-including physical fragilis of a bio"
B - Survival,t0,work / help / tent,7,25.93,"work, help, tent, days, explore",Camo) Pack bag ice melt fitter/reclamation 21 many hands make light work
B - Survival,t2,water / camp / community,6,22.22,"water, watercolour, tiny, rebar, stake",Water Rebar stakes for grill 10 more days Commonal meals & Checkins
B - Survival,t3,how / weeks / others,5,18.52,"how, help, other, better, myself","Extra batteries, Lizard onesie for cold nights. 2 weeks Kindness in the ranton encounters of each and every person you meet"
B - Survival,t4,days / open / community,5,18.52,"days, open, mind, headlamp, pool","headlamp pool [Illegible] 10 days my community helps me feel grouded, inspired, and open minded."
B - Survival,t1,shade / mask / solar,4,14.81,"shade, mask, solar, eye, cooker",eye mask solar cooker 14 shade structure by campmates
C - Emotions & Experiences,t5,general / heat / experience,12,27.27,"experience, look, expectation, friend, life","13 hour exodus, alcohol The general Amosphere of choperation and eviles of bierner community."
C - Emotions & Experiences,t0,joy / yet / sure,10,22.73,"joy, camp, yet, sure, all","N/A N/A MostAll emotions - Sadness, fear, love, joy, laughter, annoyance, disappoint, hurt, rejection, inclusion, community connectedness People's passport photos-some visitors showed me their BRC passport Pichues. Talking with camp mates a"
C - Emotions & Experiences,t2,all / stamp / roads,8,18.18,"all, community, weather, exhaustion, road",Expectators/knowledge off prior to Getting folks out of confront Athaly Zore. Interesting community literature All of them! The roads My partners sadness The Weather
C - Emotions & Experiences,t3,art / own / cars,7,15.91,"art, joy, other, deep, piece","Consent Violations, MUDDY (2023) Body Positivity, Space to spontaneously create art, Deep yet ephemeral conversations/ interactions Joy, Freedom of expression, Loneliness (esp. if feeling ""othered"" or excluded). Someone's Reaction to taking"
C - Emotions & Experiences,t4,happy / happiness / love,4,9.09,"happy, happines, love, kind, miss","Noise-camp INVASION, Moving Into our Bouneries The People-So inclusive, Kind generous. happy Happiness and Awe-love Costumes Nothing Se Hing & lange installations"
C - Emotions & Experiences,t1,acid / horny / rufus,3,6.82,"acid, horny, rufu, intricacy, plave",The intricacys of the Plave wooks All of you Inspiration Juss Moist Rufus De Sol ACID
E - Relationships,t2,love / together / partner,15,68.18,"together, love, partner, move, some",Yes. Costco connected us. Didn't last. No. There's a clock on it. Things move fast and distractions are everywhere.
E - Relationships,t1,dome / orgy,3,13.64,"dome, orgy, agr",No Yes orgy dome
E - Relationships,t0,more / trust / together,2,9.09,"more, every, twice, since, morn","EVERY DAY, TWICE SINCE THIS MORN YES CURRENTLY, I AM WITH FRIENDS & WE TRUST EACHOTHER & HAVE SELF CONTROL! IT'S MORE TRUE PEOPLE OR TRUER TO THEMSELVES WHICH IS REALLY REFRESHING"
E - Relationships,t3,yet / sure / here,2,9.09,"yet, nope, sure, censu, here",not yet nope not sure
A - Transformation,t0,both / world / all,10,52.63,"open, gradual, all, world, more",Yes. Yes No No.
A - Transformation,t1,change / first / how,4,21.05,"change, first, life, experience, evolv","Yes, brought me bick [Illegible] to roots - Sudden Change My women and friends"
A - Transformation,t3,others / without / watching,3,15.79,"other, pack, space, open, iam",[Blank] [Blank] [Blank] yes Iam even more Inclusive. and I always pack it in and pack it out! I think I changed my way of thinking about others and how Creative you can be Whether it's small or large scale
A - Transformation,t2,freedom / peoples / changed,2,10.53,"freedom, enjoy, journey, ves, hila",Ves yes-hila lever yes-comus freedom
F - Diversity & Inclusion,t1,tattoos / myself / default,12,66.67,"tattoo, myself, look, often, appearance","I'm 6'8"" and I've been told I'm very Intimadating, but I'm a very sarsitive, gentle, mindful Person. I han matige &xtoxic ampuls tattoos on my Les, and a 2 tattoos that I gaut on 22 02/22/2022 I Feel like people are abrand to delle to me, I"
F - Diversity & Inclusion,t2,all / always / fit,4,22.22,"all, lesbian, stupid, boys, hell","Not at all Hell No! Not at all, ♡. Neven I did wore clothes that I could disregard after but becave of emiroment not to fit in."
F - Diversity & Inclusion,t0,interactions / others / more,1,5.56,"ist, night, ask, wife, here",Yes :- ist night; asked my wife out here Yes: - anticipation band on what others shared Gradual Yes--more connected Interactions with rowppl
F - Diversity & Inclusion,t3,chinese / culture / more,1,5.56,"stay, principle, chinese, culture, share",Stay with 10 principles. Stay Chinese culture. Share more loves.
