group_type,group_value,metric_name,metric_value,n,year_scope,question_family,notes
acculturation_group,30+,mean_friction_markers,0.0673076923076923,104,pooled,Transformation,
acculturation_group,<30,mean_net_acculturation,0.14814814814814814,27,pooled,Boundaries of Humanity,
acculturation_group,<30,mean_positive_markers,0.18518518518518517,27,pooled,Boundaries of Humanity,
acculturation_group,<30,mean_friction_markers,0.037037037037037035,27,pooled,Boundaries of Humanity,
acculturation_group,<30,mean_net_acculturation,0.13043478260869565,23,pooled,Diversity & Inclusion,
acculturation_group,<30,mean_positive_markers,0.21739130434782608,23,pooled,Diversity & Inclusion,
acculturation_group,<30,mean_friction_markers,0.08695652173913043,23,pooled,Diversity & Inclusion,
acculturation_group,<30,mean_net_acculturation,0.19642857142857142,56,pooled,Emotions & Experiences,
acculturation_group,<30,mean_positive_markers,0.19642857142857142,56,pooled,Emotions & Experiences,
acculturation_group,<30,mean_friction_markers,0.0,56,pooled,Emotions & Experiences,
acculturation_group,<30,mean_net_acculturation,0.19658119658119658,117,pooled,Other,
acculturation_group,<30,mean_positive_markers,0.21367521367521367,117,pooled,Other,
acculturation_group,<30,mean_friction_markers,0.017094017094017096,117,pooled,Other,
acculturation_group,<30,mean_net_acculturation,0.13636363636363635,22,pooled,Relationships,
acculturation_group,<30,mean_positive_markers,0.13636363636363635,22,pooled,Relationships,
acculturation_group,<30,mean_friction_markers,0.0,22,pooled,Relationships,
acculturation_group,<30,mean_net_acculturation,0.39473684210526316,38,pooled,Survival,
acculturation_group,<30,mean_positive_markers,0.39473684210526316,38,pooled,Survival,
acculturation_group,<30,mean_friction_markers,0.0,38,pooled,Survival,
acculturation_group,<30,mean_net_acculturation,0.375,24,pooled,Symbolism,
acculturation_group,<30,mean_positive_markers,0.4166666666666667,24,pooled,Symbolism,
acculturation_group,<30,mean_friction_markers,0.041666666666666664,24,pooled,Symbolism,
acculturation_group,<30,mean_net_acculturation,0.7619047619047619,21,pooled,Transformation,
acculturation_group,<30,mean_positive_markers,0.8095238095238095,21,pooled,Transformation,
acculturation_group,<30,mean_friction_markers,0.047619047619047616,21,pooled,Transformation,
acculturation_group,unknown,mean_net_acculturation,,16,pooled,Boundaries of Humanity,suppressed_low_n<20
acculturation_group,unknown,mean_positive_markers,,16,pooled,Boundaries of Humanity,suppressed_low_n<20
acculturation_group,unknown,mean_friction_markers,,16,pooled,Boundaries of Humanity,suppressed_low_n<20
acculturation_group,unknown,mean_net_acculturation,,19,pooled,Diversity & Inclusion,suppressed_low_n<20
acculturation_group,unknown,mean_positive_markers,,19,pooled,Diversity & Inclusion,suppressed_low_n<20
acculturation_group,unknown,mean_friction_markers,,19,pooled,Diversity & Inclusion,suppressed_low_n<20
acculturation_group,unknown,mean_net_acculturation,0.11363636363636363,44,pooled,Emotions & Experiences,
acculturation_group,unknown,mean_positive_markers,0.11363636363636363,44,pooled,Emotions & Experiences,
acculturation_group,unknown,mean_friction_markers,0.0,44,pooled,Emotions & Experiences,
acculturation_group,unknown,mean_net_acculturation,0.09523809523809523,126,pooled,Other,
acculturation_group,unknown,mean_positive_markers,0.10317460317460317,126,pooled,Other,
acculturation_group,unknown,mean_friction_markers,0.007936507936507936,126,pooled,Other,
acculturation_group,unknown,mean_net_acculturation,,16,pooled,Relationships,suppressed_low_n<20
acculturation_group,unknown,mean_positive_markers,,16,pooled,Relationships,suppressed_low_n<20
acculturation_group,unknown,mean_friction_markers,,16,pooled,Relationships,suppressed_low_n<20
acculturation_group,unknown,mean_net_acculturation,0.2727272727272727,22,pooled,Survival,
acculturation_group,unknown,mean_positive_markers,0.2727272727272727,22,pooled,Survival,
acculturation_group,unknown,mean_friction_markers,0.0,22,pooled,Survival,
acculturation_group,unknown,mean_net_acculturation,0.12,25,pooled,Symbolism,
acculturation_group,unknown,mean_positive_markers,0.12,25,pooled,Symbolism,
acculturation_group,unknown,mean_friction_markers,0.0,25,pooled,Symbolism,
acculturation_group,unknown,mean_net_acculturation,0.06896551724137931,29,pooled,Transformation,
acculturation_group,unknown,mean_positive_markers,0.10344827586206896,29,pooled,Transformation,
acculturation_group,unknown,mean_friction_markers,0.034482758620689655,29,pooled,Transformation,
