Folder,Subfolder,Filename,EntryIndex,Raw Transcription,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Norm_Age,Norm_Gender,Norm_Burn_Count,Norm_Region,Burn_Status
2024 Field Notes Images,J1 - Survival,IMG_2554.HEIC,4,"Q1: 41 | Q2: M | Q3: Denver | Q4: S | Q5: bike | Q6: body wipes | Q7: 14-20 | Q8: I forget things, they help",41,M,Denver,S,bike,body wipes,14-20,"I forget things, they help",,,,,,,,41,M,,Local/West,Unknown
2024 Field Notes Images,J1 - Survival,IMG_2580.HEIC,1,"Q1: 40 | Q2: Female | Q3: London, UK | Q4: 1 | Q5: Water botthe | Q6: Bungee cords | Q7: 12 (but lam in a theme, camp that feed's me) | Q8: Bringing things I forgot or things to Share, if somethi of mine broke and they have a spare. Also Sam sharing-ce building skills. And emotional support.",40,Female,"London, UK",1,Water botthe,Bungee cords,"12 (but lam in a theme, camp that feed's me)","Bringing things I forgot or things to Share, if somethi of mine broke and they have a spare. Also Sam sharing-ce building skills. And emotional support.",,,,,,,,40,F,1,International,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2580.HEIC,2,"Q1: 33 | Q2: Female | Q3: Australia | Q4: 6 | Q5: Fuck yea! Camp?? Sounder Camp mystic, conteras Tanden, vibe tribal bass | Q6: Fuck yea! in mysar to 90'5/005 hits & bangers | Q7: FANFUCKINTIASTIC | Q8: nah, both feel great.",33,Female,Australia,6,"Fuck yea! Camp?? Sounder Camp mystic, conteras Tanden, vibe tribal bass",Fuck yea! in mysar to 90'5/005 hits & bangers,FANFUCKINTIASTIC,"nah, both feel great.",,,,,,,,33,F,6,International,Veteran
2024 Field Notes Images,J1 - Survival,IMG_2559.HEIC,1,"Q1: 43 | Q2: 7 | Q3: Paris, FR | Q4: 8 | Q5: Water Bottle | Q6: A very very little spoon | Q7: 2 days, I'm port of DPW so I don't bring food and water | Q8: 100%, without the commissary and fluffers I'd die soon",43,7,"Paris, FR",8,Water Bottle,A very very little spoon,"2 days, I'm port of DPW so I don't bring food and water","100%, without the commissary and fluffers I'd die soon",,,,,,,,43,O,8,US Other,Veteran
2024 Field Notes Images,J1 - Survival,IMG_2559.HEIC,2,Q1: 31 | Q2: Male | Q3: Brooklyn NY | Q4: 1st Born | Q5: Cup | Q6: Looping Pedal | Q7: Infinite | Q8: Food & Water & friendship,31,Male,Brooklyn NY,1st Born,Cup,Looping Pedal,Infinite,Food & Water & friendship,,,,,,,,31,M,1,US Other,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2559.HEIC,3,Q1: 36 | Q2: Male | Q3: California | Q4: Four | Q5: Pedicab | Q6: Leaf blower powered whistle | Q7: 12-20 depending on comfort level | Q8: I lose a lot of shit and people find it for me,36,Male,California,Four,Pedicab,Leaf blower powered whistle,12-20 depending on comfort level,I lose a lot of shit and people find it for me,,,,,,,,36,M,,Local/West,Unknown
2024 Field Notes Images,J1 - Survival,IMG_2555.HEIC,1,"Q1: 53 | Q2: Female | Q3: Portland, OR | Q4: 1 | Q5: My camper (trailer). | Q6: Fanny Pack? Not unconventional just Something I don't use Otherwise | Q7: 14 (which is how long I Planned to be here) | Q8: My camp knew how to bing shade Structure and build it. They knew how to set up a pump out for my camper.",53,Female,"Portland, OR",1,My camper (trailer).,Fanny Pack? Not unconventional just Something I don't use Otherwise,14 (which is how long I Planned to be here),My camp knew how to bing shade Structure and build it. They knew how to set up a pump out for my camper.,,,,,,,,53,F,1,Local/West,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2555.HEIC,2,"Q1: 55 | Q2: M | Q3: Boulder, CO | Q4: 10 | Q5: Shelter from the heat | Q6: An oven from a house (propore) | Q7: 10 | Q8: Mutual Aid",55,M,"Boulder, CO",10,Shelter from the heat,An oven from a house (propore),10,Mutual Aid,,,,,,,,55,M,10,US Other,Elder
2024 Field Notes Images,J1 - Survival,IMG_2555.HEIC,3,"Q1: 51 | Q2: Female | Q3: Seattle, WA | Q4: 5 times | Q5: Good Shoes | Q6: A tent inside another tent, a sewing kit | Q7: 9-10, or 2-3 more clays than I plan to be here. | Q8: Share the labor load -set up, tear down, ice & water runs, working together means more time to plays",51,Female,"Seattle, WA",5 times,Good Shoes,"A tent inside another tent, a sewing kit","9-10, or 2-3 more clays than I plan to be here.","Share the labor load -set up, tear down, ice & water runs, working together means more time to plays",,,,,,,,51,F,5,US Other,Veteran
2024 Field Notes Images,J1 - Survival,IMG_2581.HEIC,1,Q1: 31+38 | Q2: F+F | Q3: Sparks & Fallon | Q4: 4 & 16 | Q5: Yeo! All the places! | Q6: Sometimes... not as much as I should though | Q7: FUCKING AMAZING & One Love | Q8: Dancing alone is fun but better w/ friends | Q9: Angel Dust + FUKYH | Q10: Feral Burn 2004,31+38,F+F,Sparks & Fallon,4 & 16,Yeo! All the places!,Sometimes... not as much as I should though,FUCKING AMAZING & One Love,Dancing alone is fun but better w/ friends Angel Dust + FUKYH Feral Burn 2004,,,,,,,,31,O,4,US Other,Veteran
2024 Field Notes Images,J1 - Survival,IMG_2550.HEIC,1,No entries found,,,,,,,,,,,,,,,,,U,,Unknown,Unknown
2024 Field Notes Images,J1 - Survival,IMG_2571.HEIC,1,Q1: 30 | Q2: M | Q3: WASHINGTON | Q4: ONE | Q5: WATER CUP | Q6: RUBBER DUCKS KIT | Q7: ~12 DAYS | Q8: ADVICE AND COMFORT OF KNOWING SOMEONE HAS MY BACK.,30,M,WASHINGTON,ONE,WATER CUP,RUBBER DUCKS KIT,~12 DAYS,ADVICE AND COMFORT OF KNOWING SOMEONE HAS MY BACK.,,,,,,,,30,M,,US Other,Unknown
2024 Field Notes Images,J1 - Survival,IMG_2569.HEIC,1,Q1: 68 | Q2: F | Q3: Reno | Q4: 13 | Q5: 1-2/wk - Little more | Q6: Light cocktails - Pot | Q7: Relaxing | Q8: No | Q9: NOT AT ALL,68,F,Reno,13,1-2/wk - Little more,Light cocktails - Pot,Relaxing,No NOT AT ALL,,,,,,,,68,F,13,Local/West,Elder
2024 Field Notes Images,J1 - Survival,IMG_2569.HEIC,2,Q1: 10 | Q2: F | Q3: Reno Nevada | Q4: This is my 1st | Q5: No - under age | Q6: - | Q7: ? | Q8: No | Q9: NA,10,F,Reno Nevada,This is my 1st,No - under age,-,?,No NA,,,,,,,,10,F,1,Local/West,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2564.HEIC,1,"Q1: 38 | Q2: Female (woman | Q3: San Francisco, CA | Q4: 2 times | Q5: sun protection -I win easily | Q6: Spray bottle with soapy water for washin wedding dishes, etc. + vaccum compression bags for my clothes | Q7: 10-14 days | Q8: rely on my community to help me pack-/ prefore, to provide comfort & company, to moment add spec lovelty to my experience.",38,Female (woman,"San Francisco, CA",2 times,sun protection -I win easily,"Spray bottle with soapy water for washin wedding dishes, etc. + vaccum compression bags for my clothes",10-14 days,"rely on my community to help me pack-/ prefore, to provide comfort & company, to moment add spec lovelty to my experience.",,,,,,,,38,O,2,Local/West,Sophomore
2024 Field Notes Images,J1 - Survival,IMG_2568.HEIC,1,"Q1: 68 | Q2: F | Q3: Salt Lake City, Utah | Q4: 4th time | Q5: air conditioning | Q6: an address book | Q7: 10 days | Q8: to feel included",68,F,"Salt Lake City, Utah",4th time,air conditioning,an address book,10 days,to feel included,,,,,,,,68,F,4,Local/West,Veteran
2024 Field Notes Images,J1 - Survival,IMG_2568.HEIC,2,Q1: 57 | Q2: M | Q3: Oklahoma | Q4: 1 | Q5: Cup | Q6: [Blank] | Q7: 0 | Q8: Camp group,57,M,Oklahoma,1,Cup,[Blank],0,Camp group,,,,,,,,57,M,1,Local/West,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2567.HEIC,1,"Q1: 33 years old | Q2: female | Q3: Vancouver, BC | Q4: 2x - 2023, 2024 | Q5: my hearing aids | Q6: I wasn't prepare for show my mandala art... | Q7: 2 Weeks, maybe.. | Q8: Hugs",33 years old,female,"Vancouver, BC","2x - 2023, 2024",my hearing aids,I wasn't prepare for show my mandala art...,"2 Weeks, maybe..",Hugs,,,,,,,,33,F,2,US Other,Sophomore
2024 Field Notes Images,J1 - Survival,IMG_2567.HEIC,2,"Q1: 50 | Q2: Female | Q3: Austin, TX, USA | Q4: Fire | Q5: Sunscreen | Q6: Dust Buster | Q7: 2+ Weeks | Q8: Food Share",50,Female,"Austin, TX, USA",Fire,Sunscreen,Dust Buster,2+ Weeks,Food Share,,,,,,,,50,F,,US Other,Unknown
2024 Field Notes Images,J1 - Survival,IMG_2553.HEIC,1,"Q1: 39 | Q2: Non-binary | Q3: Germany | Q4: 1 | Q5: Hexayurt | Q6: Clothes | Q7: ~3 days | Q8: Fuel, water",39,Non-binary,Germany,1,Hexayurt,Clothes,~3 days,"Fuel, water",,,,,,,,39,NB,1,International,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2553.HEIC,2,"Q1: 54 | Q2: MALE | Q3: DISONGANS MELLS, CA | Q4: 1 | Q5: JET BOK | Q6: GOGGELS | Q7: 14 | Q8: ADUKE ON WHAT TO BRIONG OUT.",54,MALE,"DISONGANS MELLS, CA",1,JET BOK,GOGGELS,14,ADUKE ON WHAT TO BRIONG OUT.,,,,,,,,54,M,1,Local/West,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2553.HEIC,3,"Q1: 35 | Q2: M | Q3: Boise, ID, USA, Earth, Milky Way | Q4: 3 | Q5: Brain, Water | Q6: Wag Bag (in lase of emergency BM) | Q7: 30+ | Q8: Self reliant to survive, Many ways the community help's me thrive",35,M,"Boise, ID, USA, Earth, Milky Way",3,"Brain, Water",Wag Bag (in lase of emergency BM),30+,"Self reliant to survive, Many ways the community help's me thrive",,,,,,,,35,M,3,US Other,Sophomore
2024 Field Notes Images,J1 - Survival,IMG_2557.HEIC,1,"Q1: 40 | Q2: F | Q3: SEATTLE, WA | Q4: 1! | Q5: SUN HAT & THONG | Q6: TENNIS BALLS | Q7: A MONTH?... | Q8: POTABLE WATER SERVICE",40,F,"SEATTLE, WA",1!,SUN HAT & THONG,TENNIS BALLS,A MONTH?...,POTABLE WATER SERVICE,,,,,,,,40,F,1,US Other,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2570.HEIC,1,"Q1: 39 | Q2: Female | Q3: Florida | Q4: 4 times | Q5: I am ""Florida"" sober- I do everything but drink | Q6: I smoke a few cigarettes, I smoke a few a year | Q7: Smoking is a social activity and fun! | Q8: More people would access w/ a prescription. | Q9: It doesn't really affect me, rarely use it.",39,Female,Florida,4 times,"I am ""Florida"" sober- I do everything but drink","I smoke a few cigarettes, I smoke a few a year",Smoking is a social activity and fun!,"More people would access w/ a prescription. It doesn't really affect me, rarely use it.",,,,,,,,39,F,4,US Other,Veteran
2024 Field Notes Images,J1 - Survival,IMG_2570.HEIC,2,Q1: 55 | Q2: F | Q3: US | Q4: 7 | Q5: Sfelling of water | Q6: Skepanto | Q7: Imo | Q8: Anything,55,F,US,7,Sfelling of water,Skepanto,Imo,Anything,,,,,,,,55,F,7,US Other,Veteran
2024 Field Notes Images,J1 - Survival,IMG_2570.HEIC,3,"Q1: 57 | Q2: female | Q3: Las Vegas NV | Q4: 1 | Q5: metal cup w screw top lid & ID copy taped | Q6: duct tape (not unconventional per se) habe come in handy in many purpusny ways | Q7: Up to 1 month | Q8: Cameraderie, advice, sense of community within a larger commerdity",57,female,Las Vegas NV,1,metal cup w screw top lid & ID copy taped,duct tape (not unconventional per se) habe come in handy in many purpusny ways,Up to 1 month,"Cameraderie, advice, sense of community within a larger commerdity",,,,,,,,57,F,1,Local/West,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2560.HEIC,1,Q1: 38 | Q2: male | Q3: nevide | Q4: 3timer | Q5: no love to speak of | Q6: not yet | Q7: Drugs,38,male,nevide,3timer,no love to speak of,not yet,Drugs,,,,,,,,,38,M,3,US Other,Sophomore
2024 Field Notes Images,J1 - Survival,IMG_2577.HEIC,1,Q1: 39 | Q2: F | Q3: Grass Valley | Q4: 1 | Q5: water | Q6: a little cart that became my chariot | Q7: 15 days | Q8: ASK,39,F,Grass Valley,1,water,a little cart that became my chariot,15 days,ASK,,,,,,,,39,F,1,US Other,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2577.HEIC,2,Q1: 34 | Q2: M | Q3: Liverpool | Q4: first time | Q5: Water | Q6: tea tree oil spray | Q7: 9 days | Q8: Helping and giving,34,M,Liverpool,first time,Water,tea tree oil spray,9 days,Helping and giving,,,,,,,,34,M,1,US Other,Virgin
2024 Field Notes Images,B1 - Symbolism,IMG_2470.HEIC,1,Q1: 46 | Q2: MALE | Q3: unusually Rich $,46,MALE,unusually Rich $,,,,,,,,,,,,,46,M,,US Other,Unknown
2024 Field Notes Images,J1 - Survival,IMG_2576.HEIC,1,"Q1: 32 | Q2: Male | Q3: Detroit | Q4: five | Q5: headlamp | Q6: Rain Jacket | Q7: zero | Q8: water, toilet paper/tollets, Shave, emotional Support, Fun",32,Male,Detroit,five,headlamp,Rain Jacket,zero,"water, toilet paper/tollets, Shave, emotional Support, Fun",,,,,,,,32,M,,US Other,Unknown
2024 Field Notes Images,J1 - Survival,IMG_2576.HEIC,2,Q1: 22 | Q2: Male | Q3: Creskel Belle Co | Q4: 2 | Q5: Pee Jug | Q6: Tons of Hot Days | Q7: 11 | Q8: Fad and aia cuiculas,22,Male,Creskel Belle Co,2,Pee Jug,Tons of Hot Days,11,Fad and aia cuiculas,,,,,,,,22,M,2,US Other,Sophomore
2024 Field Notes Images,B1 - Symbolism,IMG_2467.HEIC,1,"Q1: 44 yo. | Q2: F | Q3: Denver, Colorado | Q4: 5th Burn (last time was 2009 !!) | Q5: It's a reset for life. Reminder to be creative and ridiculous... and curious.",44 yo.,F,"Denver, Colorado",5th Burn (last time was 2009 !!),It's a reset for life. Reminder to be creative and ridiculous... and curious.,,,,,,,,,,,44,F,5,Local/West,Veteran
2024 Field Notes Images,J1 - Survival,IMG_2561.HEIC,1,"Q1: 43 | Q2: ♀ | Q3: Guernville ca | Q4: 11 | Q5: yes, Mostly tust | Q6: Currently a wife of lo yre | Q7: Always bettor 2 my lover. | Q8: Henging at with best friend for a mek is Fun | Q9: communicate- do what you want. | Q10: 1",43,♀,Guernville ca,11,"yes, Mostly tust",Currently a wife of lo yre,Always bettor 2 my lover.,Henging at with best friend for a mek is Fun communicate- do what you want. 1,,,,,,,,43,O,11,Local/West,Elder
2024 Field Notes Images,J1 - Survival,IMG_2561.HEIC,2,Q1: 32 | Q2: F | Q3: San Fran | Q4: 1 | Q5: Solar panels | Q6: Spray bottle | Q7: 2 weeks | Q8: ask fer what you need ♡,32,F,San Fran,1,Solar panels,Spray bottle,2 weeks,ask fer what you need ♡,,,,,,,,32,F,1,US Other,Virgin
2024 Field Notes Images,B1 - Symbolism,IMG_2466.HEIC,1,Q1: 29 | Q2: Femalle | Q3: 4th | Q4: Oakland Sa | Q5: BM Ruines my life by distracting me from the world so I get lost In this creative Ene | Q6: The Man keps my Sadness | Q7: Nothing byt Heading,29,Femalle,4th,Oakland Sa,BM Ruines my life by distracting me from the world so I get lost In this creative Ene,The Man keps my Sadness,Nothing byt Heading,,,,,,,,,29,O,,US Other,Unknown
2024 Field Notes Images,B1 - Symbolism,IMG_2466.HEIC,2,"Q1: 44 | Q2: MALE CIS | Q3: AUSTRALIA PERTIA | Q4: FIRST TIME | Q5: FREEDOM OF EXPESSION OF OURSELIES WHAT EVER SHAPE OR FORM. LOVE LAUGHTER & HAPPINESS | Q6: ITS THE PLACE. UNESCE WE Release our EMOTIONS, TROUBLES, WORRIES CanaNTER & LOVE.",44,MALE CIS,AUSTRALIA PERTIA,FIRST TIME,FREEDOM OF EXPESSION OF OURSELIES WHAT EVER SHAPE OR FORM. LOVE LAUGHTER & HAPPINESS,"ITS THE PLACE. UNESCE WE Release our EMOTIONS, TROUBLES, WORRIES CanaNTER & LOVE.",,,,,,,,,,44,O,1,International,Virgin
2024 Field Notes Images,B1 - Symbolism,IMG_2450.HEIC,1,Q1: 36 | Q2: Male | Q3: NYC (BROUKIAN) | Q4: 3 | Q5: Indeed its outer times indeSCRIABRE But in say it toeur you to put yoursel fistula evayen at the centとは to hele reflect Apo understand Yarrelf better | Q6: Burdanjesi | Q7: quer lasting,36,Male,NYC (BROUKIAN),3,Indeed its outer times indeSCRIABRE But in say it toeur you to put yoursel fistula evayen at the centとは to hele reflect Apo understand Yarrelf better,Burdanjesi,quer lasting,,,,,,,,,36,M,3,International,Sophomore
2024 Field Notes Images,B1 - Symbolism,IMG_2450.HEIC,2,"Q1: 38 | Q2: F | Q3: Washington DC | Q4: 1 | Q5: Connection, amusement, love exhaustion, frustration, griefi loneliness awe, giggles | Q6: Did I? auch | Q7: Unexpected challenge conecting wi a best friend | Q8: Looking back at the city from deep playa",38,F,Washington DC,1,"Connection, amusement, love exhaustion, frustration, griefi loneliness awe, giggles",Did I? auch,Unexpected challenge conecting wi a best friend Looking back at the city from deep playa,,,,,,,,,38,F,1,US Other,Virgin
2024 Field Notes Images,B1 - Symbolism,IMG_2446.HEIC,1,"Q1: 56 | Q2: Male | Q3: Boulder, Co | Q4: 10 | Q5: Absolutely! It helps me be a better person- giving is a veny beautiful hatit! | Q6: I find it comforting. It is a community. | Q7: Grief.",56,Male,"Boulder, Co",10,Absolutely! It helps me be a better person- giving is a veny beautiful hatit!,I find it comforting. It is a community.,Grief.,,,,,,,,,56,M,10,US Other,Elder
2024 Field Notes Images,B1 - Symbolism,IMG_2446.HEIC,2,"Q1: 18 | Q2: no clue but leaving towards girl | Q3: San Francisco! | Q4: once! | Q5: absolutely, I feel very at home | Q6: the stripping of the ego, and the rebirth of unconditionat love. | Q7: release and moving forward",18,no clue but leaving towards girl,San Francisco!,once!,"absolutely, I feel very at home","the stripping of the ego, and the rebirth of unconditionat love.",release and moving forward,,,,,,,,,18,O,1,Local/West,Virgin
2024 Field Notes Images,B1 - Symbolism,IMG_2446.HEIC,3,"Q1: 32 | Q2: female | Q3: Oakland | Q4: 2 | Q5: yes,",32,female,Oakland,2,"yes,",,,,,,,,,,,32,F,2,Local/West,Sophomore
2024 Field Notes Images,B1 - Symbolism,IMG_2459.HEIC,1,"Q1: [Blank] | Q2: [Blank] | Q3: [Blank] | Q4: [Blank] | Q5: Yes, strength | Q6: connection | Q7: Peace",[Blank],[Blank],[Blank],[Blank],"Yes, strength",connection,Peace,,,,,,,,,,O,,Local/West,Unknown
2024 Field Notes Images,B1 - Symbolism,IMG_2456.HEIC,1,Q1: 162 in24/0 in 62 | Q2: female | Q3: FL | Q4: 2 | Q5: I tried to live a burn life even before there was a Burn. I have learned ways to improve. | Q6: See 5 | Q7: See 6,162 in24/0 in 62,female,FL,2,I tried to live a burn life even before there was a Burn. I have learned ways to improve.,See 5,See 6,,,,,,,,,,F,2,US Other,Sophomore
2024 Field Notes Images,B1 - Symbolism,IMG_2460.HEIC,1,"Q1: 37 | Q2: Male | Q3: Iowa SinxCity | Q4: once | Q5: yes, it givesme strength | Q6: connection | Q7: Peace",37,Male,Iowa SinxCity,once,"yes, it givesme strength",connection,Peace,,,,,,,,,37,M,1,US Other,Virgin
2024 Field Notes Images,B1 - Symbolism,IMG_2457.HEIC,1,"Q1: 27 | Q2: Female | Q3: FRANCE | Q4: 3 | Q5: Self discovery, community, participation, contribution, spontaneity | Q6: Celebration & community | Q7: self reflection a reaching out beyond yourself",27,Female,FRANCE,3,"Self discovery, community, participation, contribution, spontaneity",Celebration & community,self reflection a reaching out beyond yourself,,,,,,,,,27,F,3,International,Sophomore
2024 Field Notes Images,B1 - Symbolism,IMG_2457.HEIC,2,"Q1: 37 | Q2: Female | Q3: Tasmania, Australia | Q4: 1 | Q5: Don't know yet | Q6: Already was | Q7: More open. We don't have a Strong queer community or opportunity to play where we are. It's been enlightening engaging in workshops & talking to people in the queer & kink wond.",37,Female,"Tasmania, Australia",1,Don't know yet,Already was,More open. We don't have a Strong queer community or opportunity to play where we are. It's been enlightening engaging in workshops & talking to people in the queer & kink wond.,,,,,,,,,37,F,1,International,Virgin
2024 Field Notes Images,B1 - Symbolism,IMG_2455.HEIC,1,Q1: 33 | Q2: Mole | Q3: Swedon | Q4: 1 | Q5: V3 | Q6: [Blank] | Q7: [Blank],33,Mole,Swedon,1,V3,[Blank],[Blank],,,,,,,,,33,O,1,US Other,Virgin
2024 Field Notes Images,B1 - Symbolism,IMG_2461.HEIC,1,Q1: 41 | Q2: Female | Q3: Australia | Q4: 1 | Q5: As many times. | Q6: It has enriched my life through knowing praye magic. through play. through witnessing synchronisity that has been unbelievable | Q7: To not feel you are being controlled by the system. to be yourself. temple sacred space to hanamaury quiet. but it was heavy chergy & (coulslut,41,Female,Australia,1,As many times.,It has enriched my life through knowing praye magic. through play. through witnessing synchronisity that has been unbelievable,To not feel you are being controlled by the system. to be yourself. temple sacred space to hanamaury quiet. but it was heavy chergy & (coulslut,,,,,,,,,41,F,1,International,Virgin
2024 Field Notes Images,B1 - Symbolism,IMG_2461.HEIC,2,Q1: 40 | Q2: Female | Q3: The Not Portland side of Oregon | Q4: 2 | Q5: Nope | Q6: Yes. Positive experienced with him. Nope. Clear communication & be prepared to give eachother space | Q7: The Same because I am the same person,40,Female,The Not Portland side of Oregon,2,Nope,Yes. Positive experienced with him. Nope. Clear communication & be prepared to give eachother space,The Same because I am the same person,,,,,,,,,40,F,2,Local/West,Sophomore
2024 Field Notes Images,J1 - Survival,IMG_2556.HEIC,1,"Q1: 52 | Q2: Female | Q3: Little Rock, AR | Q4: 2 | Q5: My bestie | Q6: Shaker eggs w/ Rune reading on them | Q7: 12-14 | Q8: Prey Keep helping w/ the stufó te Keep losing!",52,Female,"Little Rock, AR",2,My bestie,Shaker eggs w/ Rune reading on them,14-Dec,Prey Keep helping w/ the stufó te Keep losing!,,,,,,,,52,F,2,US Other,Sophomore
2024 Field Notes Images,J1 - Survival,IMG_2556.HEIC,2,"Q1: 24 | Q2: Female | Q3: Wallington, New Jerseye | Q4: First time A | Q5: Liza My best friend. | Q6: A lot of small ducks | Q7: 3 days I don't have a lot of water. | Q8: Cooking",24,Female,"Wallington, New Jerseye",First time A,Liza My best friend.,A lot of small ducks,3 days I don't have a lot of water.,Cooking,,,,,,,,24,F,1,US Other,Virgin
2024 Field Notes Images,J1 - Survival,IMG_2556.HEIC,3,Q1: 26 | Q2: Female | Q3: las vegas WV | Q4: 4 | Q5: Duot mask | Q6: Skincare mask | Q7: Qwecks + | Q8: For extru water. I feed tons of people as well to repay,26,Female,las vegas WV,4,Duot mask,Skincare mask,Qwecks +,For extru water. I feed tons of people as well to repay,,,,,,,,26,F,4,Local/West,Veteran
